logical_table,instance_id,episode_seed,bank_position,seat_index,difficulty_tags,deal_rate,normalized_primary,worst_off,max_share,seat_z,seat_z_uncond,seat_share,seat_advantage,seat_capture_z,coplayer_z,coplayer_z_uncond,z_parties
one_rational,scorable_negotiation-L2-0aa50f7b83,0,22,2,hard;high-conflict;large-frontier;no-clear-win-win,1.0,0.7533,0.23684210526315788,0.3369091991003009,0.4814814815,0.4814814815,0.16221554031375598,-0.14018784507499998,-0.35313667644920294,0.621669326575,0.621669326575,0.3108108108;0.2368421053;0.4814814815;0.9390243902;1
one_rational,scorable_negotiation-L4-712ba36a4f,3,9,0,hard;no-clear-win-win;pivotal-seat,1.0,1.0,0.0,0.3132530120481927,0.0,0.0,0.0,-0.798076923075,-1.4284889109462915,0.798076923075,0.798076923075,0;1;0.1923076923;1;1
one_rational,scorable_negotiation-L3-d9a0ef3c04,2,13,2,hard;no-clear-win-win;pivotal-seat,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L2-103cef6017,2,7,1,medium;small-frontier,1.0,0.9523,0.22972972972972974,0.3128979479193361,1.0,1.0,0.3128979479222924,0.451017451025,1.0702982677672783,0.548982548975,0.548982548975,0.2692307692;1;1;0.2297297297;0.696969697
one_rational,scorable_negotiation-L4-8a29217702,2,4,3,hard;high-conflict;no-clear-win-win;small-frontier,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L2-adac68f4ac,1,17,4,large-frontier;medium,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L3-9a673abad3,2,18,2,hard;high-conflict;pivotal-seat,1.0,1.0,0.08620689655172414,0.2831391836560347,1.0,1.0,0.2831391836561729,0.3670420258625,0.8764238113846815,0.6329579741375,0.6329579741375,0.68;1;1;0.08620689655;0.765625
one_rational,scorable_negotiation-L0-a483b0d80d,1,15,2,easy,1.0,0.8907,0.4090909090909091,0.2635126650969338,0.6375,0.6375,0.23098532050069656,0.10689608854999999,0.6962215692823293,0.53060391145,0.53060391145,0.5638297872;0.7272727273;0.6375;0.4090909091;0.4222222222
one_rational,scorable_negotiation-L4-faf2ca7d47,1,14,1,hard;no-clear-win-win;pivotal-seat;small-frontier,1.0,0.8196,0.0,0.30612244897959184,1.0,1.0,0.3061224489764681,0.433333333325,0.800853434719423,0.566666666675,0.566666666675,1;1;0.2666666667;0;1
one_rational,scorable_negotiation-L3-a8641f6c33,1,3,0,medium;small-frontier,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L1-a9097927ce,3,1,2,easy,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L3-a8641f6c33,2,3,2,medium;small-frontier,1.0,0.6793,0.3157894736842105,0.33252976671296725,0.5423728814,0.5423728814,0.18035512772550955,-0.07384629227500006,-0.24237009592029235,0.616219173675,0.616219173675,1;0.7352941176;0.5423728814;0.3157894737;0.4137931034
one_rational,scorable_negotiation-L3-9a673abad3,4,18,1,hard;high-conflict;pivotal-seat,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L3-9a1b1c0960,1,23,0,hard;pivotal-seat,1.0,1.0,0.18421052631578946,0.3022639200489496,0.5087719298,0.5087719298,0.1537833979133775,-0.1911268556250001,-0.4922470409413695,0.6998987854250001,0.6998987854250001,0.5087719298;0.1842105263;0.6153846154;1;1
one_rational,scorable_negotiation-L0-a483b0d80d,4,15,3,easy,1.0,0.7022,0.10638297872340426,0.3298089454496522,0.4659090909,0.4659090909,0.2160857614924498,0.04335375027499999,0.1789786713364973,0.422555340625,0.422555340625,0.1063829787;0.4727272727;0.4;0.4659090909;0.7111111111
one_rational,scorable_negotiation-L3-46e1252af7,3,8,4,hard;pivotal-seat,1.0,0.8431,0.49230769230769234,0.2597561123128202,0.6739130435,0.6739130435,0.17505303221570667,-0.12004995552499997,-0.4806563050694535,0.793962999025,0.793962999025,0.4923076923;0.6835443038;1;1;0.6739130435
one_rational,scorable_negotiation-L0-611ee402f7,0,5,0,easy,1.0,0.9047,0.16666666666666666,0.3261421260568327,0.5851851852,0.5851851852,0.19085354043837374,-0.035055497400000024,-0.10539388152990838,0.6202406826,0.6202406826,0.5851851852;1;0.1666666667;0.6435643564;0.6707317073
one_rational,scorable_negotiation-L1-19dae4b672,3,11,2,high-conflict;medium,1.0,1.0,0.14516129032258066,0.313897741571073,0.6222222222,0.6222222222,0.19531415030903843,-0.018659937100000024,-0.04486847716947876,0.6408821593,0.6408821593,0.4183673469;1;0.6222222222;1;0.1451612903
one_rational,scorable_negotiation-L0-32200851b2,2,10,4,easy;high-conflict,1.0,0.8383,0.12087912087912088,0.31569376757623824,0.6213592233,0.6213592233,0.24581979984242575,0.14477350512500003,0.47165686349888625,0.476585718175,0.476585718175,0.1208791209;0.3289473684;0.797979798;0.6585365854;0.6213592233
one_rational,scorable_negotiation-L0-65113008ad,0,0,0,medium,1.0,0.8694,0.06862745098039216,0.30410813590922237,0.4339622642,0.4339622642,0.13197145521942774,-0.2796231699700001,-0.6214849237736805,0.7135854341700001,0.7135854341700001,0.4339622642;1;0.06862745098;1;0.7857142857
